año,mes,mes_nombre,entidad_operadora,nro_dispositivos,nro_transacciones,monto,entidad_operadora_normalizada,nro_feriados,nro_dias,especie_monetaria_circulacion,liquidez_total_m2,oferta_monetaria_m1
2019,1,Enero,Datafast,66219,8436874,583105760.13,Datafast,1.0,1.0,15501.35,52873.4,24643.71
2019,2,Febrero,Datafast,66828,7941863,552187693.82,Datafast,0.0,0.0,15514.71,53416.42,24901.06
2019,3,Marzo,Datafast,67594,8890154,617330734.37,Datafast,1.0,2.0,15616.17,53747.06,24995.89
2019,4,Abril,Datafast,68289,9046261,646562123.31,Datafast,1.0,1.0,15794.43,54011.82,24883.39
2019,5,Mayo,Datafast,68961,9398658,666359890.42,Datafast,2.0,2.0,15811.22,54009.15,24695.29
2019,6,Junio,Datafast,68988,9344085,653993247.77,Datafast,0.0,0.0,15845.23,54271.29,24720.54
2019,7,Julio,Datafast,69901,9502118,670862610.61,Datafast,0.0,0.0,15891.79,54680.12,24921.39
2019,8,Agosto,Datafast,70971,9740681,706040554.81,Datafast,1.0,1.0,16135.62,55371.99,25033.94
2019,9,Septiembre,Datafast,71761,9347881,679342317.09,Datafast,0.0,0.0,16047.57,55160.34,24989.0
2019,10,Octubre,Datafast,71740,8886954,596900645.54,Datafast,1.0,1.0,16394.3,55772.32,25209.84
2019,11,Noviembre,Datafast,74602,9949825,694770189.58,Datafast,2.0,2.0,16390.25,56147.25,25363.35
2019,12,Diciembre,Datafast,76118,12189146,839989954.98,Datafast,1.0,1.0,16966.2,57967.69,26196.71
2019,1,Enero,Medianet,21139,2187556,106537824.6,Medianet,1.0,1.0,15501.35,52873.4,24643.71
2019,2,Febrero,Medianet,21110,2113078,106997132.92,Medianet,0.0,0.0,15514.71,53416.42,24901.06
2019,3,Marzo,Medianet,21533,2380785,118482559.99,Medianet,1.0,2.0,15616.17,53747.06,24995.89
2019,4,Abril,Medianet,21736,2320204,118694769.71,Medianet,1.0,1.0,15794.43,54011.82,24883.39
2019,5,Mayo,Medianet,21718,2373813,118521412.68,Medianet,2.0,2.0,15811.22,54009.15,24695.29
2019,6,Junio,Medianet,21595,2371144,108641558.01,Medianet,0.0,0.0,15845.23,54271.29,24720.54
2019,7,Julio,Medianet,21589,2392340,112144297.69,Medianet,0.0,0.0,15891.79,54680.12,24921.39
2019,8,Agosto,Medianet,21690,2402980,121616322.46,Medianet,1.0,1.0,16135.62,55371.99,25033.94
2019,9,Septiembre,Medianet,21803,2372118,111292036.85,Medianet,0.0,0.0,16047.57,55160.34,24989.0
2019,10,Octubre,Medianet,27578,2317640,120216870.43,Medianet,1.0,1.0,16394.3,55772.32,25209.84
2019,11,Noviembre,Medianet,29009,2485278,132814148.63,Medianet,2.0,2.0,16390.25,56147.25,25363.35
2019,12,Diciembre,Medianet,31925,3281976,191108674.33,Medianet,1.0,1.0,16966.2,57967.69,26196.71
2019,1,Enero,Banco del Austro,5762,451609,25519873.37,Banco Del Austro,1.0,1.0,15501.35,52873.4,24643.71
2019,2,Febrero,Banco del Austro,5771,398207,22859497.74,Banco Del Austro,0.0,0.0,15514.71,53416.42,24901.06
2019,3,Marzo,Banco del Austro,5851,403937,24019287.57,Banco Del Austro,1.0,2.0,15616.17,53747.06,24995.89
2019,4,Abril,Banco del Austro,5922,482573,28902883.04,Banco Del Austro,1.0,1.0,15794.43,54011.82,24883.39
2019,5,Mayo,Banco del Austro,5919,472334,26626932.78,Banco Del Austro,2.0,2.0,15811.22,54009.15,24695.29
2019,6,Junio,Banco del Austro,5829,435372,24668656.5,Banco Del Austro,0.0,0.0,15845.23,54271.29,24720.54
2019,7,Julio,Banco del Austro,5934,508612,27575887.2,Banco Del Austro,0.0,0.0,15891.79,54680.12,24921.39
2019,8,Agosto,Banco del Austro,5850,470339,26913028.26,Banco Del Austro,1.0,1.0,16135.62,55371.99,25033.94
2019,9,Septiembre,Banco del Austro,5889,494272,26988273.89,Banco Del Austro,0.0,0.0,16047.57,55160.34,24989.0
2019,10,Octubre,Banco del Austro,5726,401339,22778866.1,Banco Del Austro,1.0,1.0,16394.3,55772.32,25209.84
2019,11,Noviembre,Banco del Austro,5817,432116,23713105.04,Banco Del Austro,2.0,2.0,16390.25,56147.25,25363.35
2019,12,Diciembre,Banco del Austro,5962,574797,31147257.39,Banco Del Austro,1.0,1.0,16966.2,57967.69,26196.71
2019,1,Enero,Banco Solidario,338,982,138153.97,Banco Solidario,1.0,1.0,15501.35,52873.4,24643.71
2019,2,Febrero,Banco Solidario,411,1202,140637.31,Banco Solidario,0.0,0.0,15514.71,53416.42,24901.06
2019,3,Marzo,Banco Solidario,406,1317,180523.03,Banco Solidario,1.0,2.0,15616.17,53747.06,24995.89
2019,4,Abril,Banco Solidario,100,165,22411.58,Banco Solidario,1.0,1.0,15794.43,54011.82,24883.39
2019,5,Mayo,Banco Solidario,417,1340,197447.13,Banco Solidario,2.0,2.0,15811.22,54009.15,24695.29
2019,6,Junio,Banco Solidario,373,1280,194357.33,Banco Solidario,0.0,0.0,15845.23,54271.29,24720.54
2019,7,Julio,Banco Solidario,289,1031,204043.52,Banco Solidario,0.0,0.0,15891.79,54680.12,24921.39
2019,8,Agosto,Banco Solidario,274,1004,200254.66,Banco Solidario,1.0,1.0,16135.62,55371.99,25033.94
2019,9,Septiembre,Banco Solidario,263,1047,206058.37,Banco Solidario,0.0,0.0,16047.57,55160.34,24989.0
2019,10,Octubre,Banco Solidario,227,720,157556.95,Banco Solidario,1.0,1.0,16394.3,55772.32,25209.84
2019,11,Noviembre,Banco Solidario,264,880,178941.7,Banco Solidario,2.0,2.0,16390.25,56147.25,25363.35
