entidad,fecha,nro_puntos_ventas,nro_dias_feriados,oferta_monetaria_m1,shock_pandemia,fin_de_anio,rebote_pospandemia,pos_lag1,m1_lag1,mes_especial
datafast,6/1/2025,84081,1,30661260000.00,0,0,0,85589,32026800000.00,
datafast,7/1/2025,83241,0,30188540000.00,0,0,0,84038.74,30665250000.00,0
datafast,8/1/2025,83447,2,29816550000.00,0,0,0,83240.82,30188540000.00,1
datafast,9/1/2025,83826,0,29877340000.00,0,0,0,83447.33,29816550000.00,0
datafast,10/1/2025,85159,0,29859260000.00,0,0,0,83826.43,29877340000.00,0
datafast,11/1/2025,85240,1,30143770000.00,0,0,0,85158.97,29859260000.00,0
datafast,12/1/2025,83961,0,30193460000.00,0,0,0,85239.82,30143770000.00,0
datafast,1/1/2026,83931,1,30545280000.00,0,1,0,83961.28,30193460000.00,0
datafast,2/1/2026,91596,2,31156790000.00,0,0,0,83931.13,30545280000.00,0
datafast,3/1/2026,90175,1,31573990000.00,0,0,0,91596.03,31156790000.00,0
datafast,4/1/2026,86672,1,31394980000.00,0,0,0,90175.15,31573990000.00,1
datafast,5/1/2026,86740,0,31466660000.00,0,0,0,86672.02,31394980000.00,0
medianet,6/1/2025,37189,0,31701073200.00,0,0,0,84038.74,30665250000.00,0
medianet,7/1/2025,36721,0,31416982700.00,0,0,0,83240.82,30188540000.00,1
medianet,8/1/2025,36267,1,31522236200.00,0,0,0,83447.33,29816550000.00,0
medianet,9/1/2025,35829,0,31452515400.00,0,0,0,83826.43,29877340000.00,0
medianet,10/1/2025,35406,1,31725302200.00,0,0,0,85158.97,29859260000.00,0
medianet,11/1/2025,34996,2,32284686300.00,0,0,0,85239.82,30143770000.00,0
medianet,12/1/2025,34600,1,32667569300.00,0,1,0,83961.28,30193460000.00,0
medianet,1/1/2026,34217,1,32466005800.00,0,0,0,83931.13,30545280000.00,0
medianet,2/1/2026,33847,0,32522869600.00,0,0,0,91596.03,31156790000.00,0
medianet,3/1/2026,33489,2,32925431500.00,0,0,0,90175.15,31573990000.00,1
medianet,4/1/2026,33143,1,32812039700.00,0,0,0,86672.02,31394980000.00,0
medianet,5/1/2026,32808,2,33174844300.00,0,0,0,33142.92,32812039700.00,0
banco del austro,6/1/2025,5704,1,31374745800.00,0,0,0,84038.74,30665250000.00,0
banco del austro,7/1/2025,5661,0,31133388600.00,0,0,0,83240.82,30188540000.00,1
banco del austro,8/1/2025,5625,2,30828683000.00,0,0,0,83447.33,29816550000.00,0
banco del austro,9/1/2025,5594,0,30900541800.00,0,0,0,83826.43,29877340000.00,0
banco del austro,10/1/2025,5568,0,30877118200.00,0,0,0,85158.97,29859260000.00,0
banco del austro,11/1/2025,5547,1,31153268300.00,0,0,0,85239.82,30143770000.00,0
banco del austro,12/1/2025,5529,0,31195587800.00,0,1,0,83961.28,30193460000.00,0
banco del austro,1/1/2026,5514,1,31541827100.00,0,0,0,83931.13,30545280000.00,0
banco del austro,2/1/2026,5501,2,32149365200.00,0,0,0,91596.03,31156790000.00,0
banco del austro,3/1/2026,5491,1,32563816300.00,0,0,0,90175.15,31573990000.00,1
banco del austro,4/1/2026,5482,1,32382947500.00,0,0,0,86672.02,31394980000.00,0
banco del austro,5/1/2026,5474,0,32453377500.00,0,0,0,5481.72,32382947500.00,0
