entidad financiera,meses,provincia,canton,estado del punto,tipo de punto de venta,region,monto facturado,nro. consumos,nro. puntos ventas,ano,meses_num,archivo origen
datafast,enero,azuay,cuenca,activo,pos,sierra,21636692.42,221562,4279,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,azuay,cuenca,activo,pos caja,sierra,7097781.74,108035,603,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,azuay,gualaceo,activo,pos caja,sierra,9136.25,217,4,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,carchi,espejo,activo,pos caja,sierra,966.4,37,2,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,carchi,tulcan,activo,pos caja,sierra,298210.2,6535,45,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,chimborazo,alausi,activo,pos caja,sierra,14711.2,452,5,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,chimborazo,cumanda,activo,pos caja,sierra,1131.43,35,2,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,chimborazo,guamote,activo,pos caja,sierra,1.02,1,1,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,chimborazo,guano,activo,pos caja,sierra,1324.58,30,3,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,chimborazo,pallatanga,activo,pos caja,sierra,27.29,2,1,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,chimborazo,riobamba,activo,pos caja,sierra,1668439.78,33369,173,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,cotopaxi,la mana,activo,pos caja,sierra,22747.22,601,11,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,cotopaxi,latacunga,activo,pos caja,sierra,1011579.85,17000,85,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,cotopaxi,pujili,activo,pos caja,sierra,37552.59,975,16,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,cotopaxi,salcedo,activo,pos caja,sierra,17225.16,544,14,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,cotopaxi,saquisili,activo,pos caja,sierra,1352.75,29,2,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,el oro,el guabo,activo,pos caja,costa,22467.24,688,8,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,el oro,huaquillas,activo,pos caja,costa,74826.14,1404,18,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,el oro,machala,activo,pos caja,costa,3426757.37,63108,253,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,el oro,pasaje,activo,pos caja,costa,21694.06,546,15,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,el oro,pinas,activo,pos caja,costa,3838.67,75,4,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,el oro,portovelo,activo,pos caja,costa,1340.38,32,2,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,el oro,santa rosa,activo,pos caja,costa,84838.81,1655,15,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,el oro,zaruma,activo,pos caja,costa,4187.92,119,3,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,esmeraldas,atacames,activo,pos caja,costa,112437.87,4225,26,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,esmeraldas,esmeraldas,activo,pos caja,costa,1350159.11,21745,123,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,esmeraldas,quininde,activo,pos caja,costa,98669.28,2911,24,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,galapagos,san cristobal,activo,pos caja,insular,23513.12,89,1,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,galapagos,santa cruz,activo,pos caja,insular,22869.63,255,1,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,alfredo baquerizo moreno (jujan),activo,pos caja,costa,111.43,6,2,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,balzar,activo,pos caja,costa,75332.14,1441,9,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,coronel marcelino mariduena,activo,pos caja,costa,2064.91,63,2,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,daule,activo,pos caja,costa,2527712.67,68516,179,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,duran,activo,pos caja,costa,529693.5,19148,107,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,el empalme,activo,pos caja,costa,29969.8,1229,21,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,el triunfo,activo,pos caja,costa,2479.39,23,3,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,general antonio elizalde (bucay),activo,pos caja,costa,23754.35,653,10,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,guayaquil,activo,pos,costa,168820868.7,2309509,21486,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,guayaquil,activo,pos caja,costa,55507164.9,1223329,4425,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,lomas de sargentillo,activo,pos caja,costa,9927.15,372,5,2019,1,puntos de venta electronicos ano 2019.xlsx
datafast,enero,guayas,milagro,activo,pos caja,costa,793047.53,18298,91,2019,1,puntos de venta electronicos ano 2019.xlsx
