entidad financiera,meses,ano,meses_num,nro. puntos ventas,nro. consumos,monto facturado,archivo origen
Datafast,mayo,2015,5,38747,10580001,1127439914,puntos de venta electronicos 2015.xlsx
Medianet,mayo,2015,5,12340,3715835,239041620.5,puntos de venta electronicos 2015.xlsx
Banco del Austro,mayo,2015,5,7309,983745,60863353.21,puntos de venta electronicos 2015.xlsx
Datafast,junio,2015,6,39040,2182088,216524194.1,puntos de venta electronicos 2015.xlsx
Medianet,junio,2015,6,12382,987288,75896463,puntos de venta electronicos 2015.xlsx
Banco del Austro,junio,2015,6,7696,273997,15445740.1,puntos de venta electronicos 2015.xlsx
Datafast,julio,2015,7,39560,2463600,238576255.6,puntos de venta electronicos 2015.xlsx
Medianet,julio,2015,7,12382,1059003,82680523,puntos de venta electronicos 2015.xlsx
Banco del Austro,julio,2015,7,7344,211826,14067780.29,puntos de venta electronicos 2015.xlsx
Datafast,agosto,2015,8,40235,2648297,289581012.4,puntos de venta electronicos 2015.xlsx
Medianet,agosto,2015,8,12279,814064,54320543,puntos de venta electronicos 2015.xlsx
Banco del Austro,agosto,2015,8,7767,229080,16107041.56,puntos de venta electronicos 2015.xlsx
Datafast,septiembre,2015,9,40705,2560633,256124219.1,puntos de venta electronicos 2015.xlsx
Medianet,septiembre,2015,9,12285,767017,52095261,puntos de venta electronicos 2015.xlsx
Banco del Austro,septiembre,2015,9,7795,305093,15799686.76,puntos de venta electronicos 2015.xlsx
Datafast,octubre,2015,10,41409,2665325,246711710.8,puntos de venta electronicos 2015.xlsx
Medianet,octubre,2015,10,12211,763017,51574312,puntos de venta electronicos 2015.xlsx
Banco del Austro,octubre,2015,10,7243,440302,30298170.32,puntos de venta electronicos 2015.xlsx
Datafast,noviembre,2015,11,41783,2710265,269401030.7,puntos de venta electronicos 2015.xlsx
Medianet,noviembre,2015,11,12157,778264,51058564,puntos de venta electronicos 2015.xlsx
Banco del Austro,noviembre,2015,11,7283,231816,15269663.03,puntos de venta electronicos 2015.xlsx
Datafast,diciembre,2015,12,41877,3111214,309338309.2,puntos de venta electronicos 2015.xlsx
Medianet,diciembre,2015,12,12136,809396,53611489,puntos de venta electronicos 2015.xlsx
Banco del Austro,diciembre,2015,12,7316,229929,14078115.07,puntos de venta electronicos 2015.xlsx
Datafast,enero,2016,1,41908,2509853,243082291.4,puntos de venta electronicos 2016.xlsx
Medianet,enero,2016,1,12098,718075,42114458,puntos de venta electronicos 2016.xlsx
Banco del Austro,enero,2016,1,5152,203730,12882228.35,puntos de venta electronicos 2016.xlsx
Datafast,febrero,2016,2,41029,2445285,247264381.7,puntos de venta electronicos 2016.xlsx
Medianet,febrero,2016,2,12077,706017,40905546,puntos de venta electronicos 2016.xlsx
Banco del Austro,febrero,2016,2,5547,197076,12902284.68,puntos de venta electronicos 2016.xlsx
Datafast,marzo,2016,3,41058,2604309,263686717.8,puntos de venta electronicos 2016.xlsx
Medianet,marzo,2016,3,12037,746328,44191211,puntos de venta electronicos 2016.xlsx
Banco del Austro,marzo,2016,3,5753,205594,13653896.63,puntos de venta electronicos 2016.xlsx
Datafast,abril,2016,4,41430,2478134,247292797.7,puntos de venta electronicos 2016.xlsx
Medianet,abril,2016,4,12136,719212,45223977,puntos de venta electronicos 2016.xlsx
Banco del Austro,abril,2016,4,5870,195921,12814711.95,puntos de venta electronicos 2016.xlsx
Datafast,mayo,2016,5,41686,2708040,262068757.6,puntos de venta electronicos 2016.xlsx
Medianet,mayo,2016,5,12136,775291,46538053,puntos de venta electronicos 2016.xlsx
Banco del Austro,mayo,2016,5,5928,239835,13740070.78,puntos de venta electronicos 2016.xlsx
Datafast,junio,2016,6,41583,2589906,237118184.8,puntos de venta electronicos 2016.xlsx
Medianet,junio,2016,6,12136,826285,47490228,puntos de venta electronicos 2016.xlsx
Banco del Austro,junio,2016,6,4934,212221,11801533.11,puntos de venta electronicos 2016.xlsx
Datafast,julio,2016,7,41712,2750916,249916112.7,puntos de venta electronicos 2016.xlsx
Medianet,julio,2016,7,12136,686312,44922570,puntos de venta electronicos 2016.xlsx
Banco del Austro,julio,2016,7,4856,228247,12887332.25,puntos de venta electronicos 2016.xlsx
Datafast,agosto,2016,8,41953,2725513,293842425.3,puntos de venta electronicos 2016.xlsx
Medianet,agosto,2016,8,12059,779863,47752634,puntos de venta electronicos 2016.xlsx
Banco del Austro,agosto,2016,8,4847,219904,13092721.52,puntos de venta electronicos 2016.xlsx
Datafast,septiembre,2016,9,42025,2656957,275766383.9,puntos de venta electronicos 2016.xlsx
Medianet,septiembre,2016,9,12059,899972,52264979,puntos de venta electronicos 2016.xlsx
Banco del Austro,septiembre,2016,9,4800,213592,13060724.42,puntos de venta electronicos 2016.xlsx
Datafast,octubre,2016,10,42236,2709478,253967077.8,puntos de venta electronicos 2016.xlsx
Medianet,octubre,2016,10,12233,981626,53362441,puntos de venta electronicos 2016.xlsx
Banco del Austro,octubre,2016,10,4801,229599,13236311.07,puntos de venta electronicos 2016.xlsx
Datafast,noviembre,2016,11,42819,2682561,263986739.7,puntos de venta electronicos 2016.xlsx
Medianet,noviembre,2016,11,12059,985274,55142533,puntos de venta electronicos 2016.xlsx
Banco del Austro,noviembre,2016,11,4777,220726,12585262.56,puntos de venta electronicos 2016.xlsx
Datafast,diciembre,2016,12,43142,3070387,295920483.4,puntos de venta electronicos 2016.xlsx
Medianet,diciembre,2016,12,12059,1106907,65057546,puntos de venta electronicos 2016.xlsx
Banco del Austro,diciembre,2016,12,4816,248813,13940687.31,puntos de venta electronicos 2016.xlsx
Datafast S.A.,enero,2017,1,40661,2558232,246941864.1,puntos de venta electronicos 2017.xlsx
Medianet S.A.,enero,2017,1,12059,591399,62082711,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,enero,2017,1,4694,214604,12117966.59,puntos de venta electronicos 2017.xlsx
Datafast S.A.,febrero,2017,2,40532,2412998,234241978.4,puntos de venta electronicos 2017.xlsx
Medianet S.A.,febrero,2017,2,12059,669842,42550933,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,febrero,2017,2,4861,212085,11234391.87,puntos de venta electronicos 2017.xlsx
Datafast S.A.,marzo,2017,3,40642,2724607,288868861.4,puntos de venta electronicos 2017.xlsx
Medianet S.A.,marzo,2017,3,12059,760016,49280833,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,marzo,2017,3,4857,236889,23682631.4,puntos de venta electronicos 2017.xlsx
Datafast S.A.,abril,2017,4,40829,2912630,280886308.2,puntos de venta electronicos 2017.xlsx
Medianet S.A.,abril,2017,4,12059,677586,43299800,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,abril,2017,4,4830,231796,13356035.84,puntos de venta electronicos 2017.xlsx
Datafast S.A.,mayo,2017,5,41332,3034122,281128640.5,puntos de venta electronicos 2017.xlsx
Medianet S.A.,mayo,2017,5,12059,800243,52166866,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,mayo,2017,5,4860,268614,14389468.01,puntos de venta electronicos 2017.xlsx
Datafast S.A.,junio,2017,6,41545,2986732,273139458.6,puntos de venta electronicos 2017.xlsx
Medianet S.A.,junio,2017,6,12059,813425,51884859,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,junio,2017,6,5070,240224,12973554.02,puntos de venta electronicos 2017.xlsx
Datafast S.A.,julio,2017,7,41717,2973773,279971803.2,puntos de venta electronicos 2017.xlsx
Medianet S.A.,julio,2017,7,10876,908117,56986738,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,julio,2017,7,4846,281060,14525361.2,puntos de venta electronicos 2017.xlsx
Datafast S.A.,agosto,2017,8,42343,2934264,313159838.5,puntos de venta electronicos 2017.xlsx
Medianet S.A.,agosto,2017,8,10853,886027,55255366,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,agosto,2017,8,4866,277056,14790068.06,puntos de venta electronicos 2017.xlsx
Datafast S.A.,septiembre,2017,9,43016,2925681,307899284.8,puntos de venta electronicos 2017.xlsx
Medianet S.A.,septiembre,2017,9,10641,855251,54530447,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,septiembre,2017,9,4915,264162,14882788.29,puntos de venta electronicos 2017.xlsx
Datafast S.A.,octubre,2017,10,48811,3007058,288659360.4,puntos de venta electronicos 2017.xlsx
Medianet S.A.,octubre,2017,10,10236,928028,55983853,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,octubre,2017,10,4940,282768,15750979.6,puntos de venta electronicos 2017.xlsx
Datafast S.A.,noviembre,2017,11,50100,3126334,319177749.6,puntos de venta electronicos 2017.xlsx
Medianet S.A.,noviembre,2017,11,10236,959363,61072967,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,noviembre,2017,11,4950,278032,15913566.3,puntos de venta electronicos 2017.xlsx
Datafast S.A.,diciembre,2017,12,50786,3692989,339632248.9,puntos de venta electronicos 2017.xlsx
Medianet S.A.,diciembre,2017,12,10420,995506,63442166,puntos de venta electronicos 2017.xlsx
Banco del Austro S.A.,diciembre,2017,12,4973,309209,17198564.85,puntos de venta electronicos 2017.xlsx
Datafast S.A.,enero,2018,1,51270,3129919,293408734.8,puntos de venta electronicos 2018.xlsx
Medianet S.A.,enero,2018,1,10420,898778,58258639.47,puntos de venta electronicos 2018.xlsx
Banco del Austro S.A.,enero,2018,1,4830,264960,25506371.83,puntos de venta electronicos 2018.xlsx
Datafast S.A.,febrero,2018,2,51308,2935797,275437684.8,puntos de venta electronicos 2018.xlsx
Medianet S.A.,febrero,2018,2,10390,859242,55318040.93,puntos de venta electronicos 2018.xlsx
Banco del Austro S.A.,febrero,2018,2,4740,253077,14071128.83,puntos de venta electronicos 2018.xlsx
Datafast S.A.,marzo,2018,3,52524,3371396,343603552.4,puntos de venta electronicos 2018.xlsx
