entidad,anio,mes,nro_puntos_ventas,nro_consumos,monto_facturado,nro_feriados,nro_dias_feriados,especie_monetaria_circulacion,liquidez_total_m2,oferta_monetaria_m1
banco del austro,2019,1,5762,451609,25519873.369999997,1,1,15501.35,52873.4,24643.71
banco del austro,2019,2,5771,398207,22859497.739999995,0,0,15514.71,53416.42,24901.06
banco del austro,2019,3,5851,403937,24019287.570000008,1,2,15616.17,53747.06,24995.89
banco del austro,2019,4,5922,482573,28902883.04,1,1,15794.43,54011.82,24883.39
banco del austro,2019,5,5919,472334,26626932.77999999,2,2,15811.22,54009.15,24695.29
banco del austro,2019,6,5829,435372,24668656.500000004,0,0,15845.23,54271.29,24720.54
banco del austro,2019,7,5934,508612,27575887.199999984,0,0,15891.79,54680.12,24921.39
banco del austro,2019,8,5850,470339,26913028.259999998,1,1,16135.62,55371.99,25033.94
banco del austro,2019,9,5889,494272,26988273.889999997,0,0,16047.57,55160.34,24989.0
banco del austro,2019,10,5726,401339,22778866.100000005,1,1,16394.3,55772.32,25209.84
banco del austro,2019,11,5817,432116,23713105.04000001,2,2,16390.25,56147.25,25363.35
banco del austro,2019,12,5962,574797,31147257.390000008,1,1,16966.2,57967.69,26196.71
banco del austro,2020,1,5790,465455,26090102.029999997,1,1,16682.28,57594.5,25715.65
banco del austro,2020,2,5736,422560,22828959.480000008,1,2,16683.73,58187.41,26136.51
banco del austro,2020,3,5484,272006,15390812.790000007,0,0,17135.95,57896.9,26319.28
banco del austro,2020,4,2287,71438,5788237.889999999,1,1,17848.07,58463.93,26715.36
banco del austro,2020,5,3373,105191,7915679.790000003,2,2,18152.7,58949.96,27138.48
banco del austro,2020,6,4507,206946,12752684.009999994,0,0,18209.89,59394.0,27401.06
banco del austro,2020,7,4641,226521,12998940.270000001,0,0,18019.86,59501.88,27144.52
banco del austro,2020,8,4827,256947,14251519.40999999,1,1,17943.98,60086.98,27274.79
banco del austro,2020,9,5012,286489,15107448.859999996,0,0,17850.41,60492.98,27283.21
banco del austro,2020,10,5211,323966,17494847.349999998,1,1,17528.51,61464.41,27320.85
banco del austro,2020,11,5301,359326,18679758.63999999,2,2,17432.26,61319.57,27491.46
banco del austro,2020,12,5434,389147,21095524.73,1,1,17959.92,63821.32,28409.5
banco del austro,2021,1,5058,323164,16824059.670000006,1,1,17679.28,63141.97,27826.33
banco del austro,2021,2,5070,321970,16248127.690000009,1,2,17660.98,63199.85,27818.05
banco del austro,2021,3,5234,397107,20597210.23,0,0,17737.47,63928.88,28433.19
banco del austro,2021,4,5194,304708,16526691.470000006,2,2,17930.83,64332.16,28241.93
banco del austro,2021,5,5340,336169,18193079.990000013,1,1,17934.3,64513.99,28295.87
banco del austro,2021,6,5399,383174,20131885.71,0,0,17907.24,65050.55,28252.74
banco del austro,2021,7,5418,392257,19961144.55000001,0,0,17925.17,65724.75,28472.71
banco del austro,2021,8,5486,453870,22960734.259999987,1,1,17956.22,66318.48,28673.3
banco del austro,2021,9,5434,426926,21171029.460000005,0,0,17965.89,67114.03,28930.55
banco del austro,2021,10,5339,407947,20798570.680000007,1,1,18273.42,67692.77,29161.43
banco del austro,2021,11,5502,466441,24238314.860000007,2,2,18128.51,67919.47,29428.06
banco del austro,2021,12,5498,499071,26381887.680000015,1,1,18683.97,70075.39,30254.96
banco del austro,2022,1,5275,408759,20718836.68999999,0,0,18352.07,69239.45,29590.12
banco del austro,2022,2,5220,354587,18185694.6,1,1,18439.18,70046.45,29554.67
banco del austro,2022,3,5360,499754,25609738.650000006,1,1,18360.04,71033.33,30176.47
banco del austro,2022,4,5182,442491,22799945.930000003,1,1,18559.34,70908.39,29664.74
banco del austro,2022,5,5112,499750,25048697.139999997,2,2,18436.59,71141.79,29594.13
banco del austro,2022,6,4885,408696,19851777.630000006,0,0,18555.11,71391.04,29541.45
banco del austro,2022,7,4879,437440,21430275.570000008,0,0,18550.73,71671.62,29414.37
banco del austro,2022,8,4940,512807,25352495.56999999,1,1,18588.49,72494.98,29650.81
banco del austro,2022,9,5049,445819,22288945.530000005,0,0,18602.56,72737.82,29507.66
banco del austro,2022,10,5613,466534,22446005.17999999,1,1,18689.49,72880.73,29442.38
banco del austro,2022,11,6041,451684,21654169.689999994,2,2,18957.9,73420.53,29667.63
banco del austro,2022,12,6066,541881,26733060.309999995,1,1,19226.42,75310.32,30190.8
banco del austro,2023,1,5853,516191,24432693.96999999,1,1,18900.64,74852.72,29932.29
