entidad,anio,mes,nro_puntos_ventas,nro_consumos,monto_facturado,nro_feriados,nro_dias_feriados,especie_monetaria_circulacion,liquidez_total_m2,oferta_monetaria_m1,monto_log,fecha,fin_de_anio,mom_pct,yoy_pct,shock_pandemia,rebote_pospandemia
banco del austro,2016,1,5152,203730,12882228.35,1.0,1.0,11494.35,39773.99,18841.48,16.371359349842923,2016-01-01,True,-8.494650839645402,-56.98568410941264,False,False
banco del austro,2016,2,5547,197076,12902284.68,1.0,2.0,11504.23,39941.03,19250.48,16.372915038132707,2016-02-01,False,0.1556899121416322,-63.04836372955255,False,False
banco del austro,2016,3,5753,205594,13653896.63,1.0,1.0,11563.48,40394.85,19534.08,16.429535579495607,2016-03-01,False,5.8254175027240285,-59.022605359594515,False,False
banco del austro,2016,4,5870,195921,12814711.95,0.0,0.0,12036.93,40546.65,19551.04,16.366104517997638,2016-04-01,False,-6.146118597061633,-61.91705831063049,False,False
banco del austro,2016,5,5928,239835,13740070.78,1.0,1.0,12019.26,40646.73,19867.41,16.43582706890786,2016-05-01,False,7.221066174647794,-77.4247226691702,False,False
banco del austro,2016,6,4934,212221,11801533.11,0.0,0.0,12033.69,41331.59,20216.59,16.283740090307447,2016-06-01,False,-14.108643987640356,-23.59360552752018,False,False
banco del austro,2016,7,4856,228247,12887332.25,0.0,0.0,12161.62,41624.46,20253.32,16.37175546832937,2016-07-01,False,9.200492257060656,-8.391146404519223,False,False
banco del austro,2016,8,4847,219904,13092721.52,1.0,1.0,12291.67,42704.33,20631.45,16.38756710098142,2016-08-01,False,1.5937299203254485,-18.71429975996164,False,False
banco del austro,2016,9,4800,213592,13060724.42,0.0,0.0,12367.71,43257.45,20794.54,16.385120225446094,2016-09-01,False,-0.24438845622066774,-17.335548366276598,False,False
banco del austro,2016,10,4801,229599,13236311.07,1.0,1.0,12379.56,43617.73,20805.08,16.398474525110462,2016-10-01,False,1.344386761052263,-56.313166999187956,False,False
banco del austro,2016,11,4777,220726,12585262.56,2.0,2.0,12414.64,44001.39,21140.03,16.348037128724002,2016-11-01,False,-4.918655254904037,-17.579958802797492,False,False
banco del austro,2016,12,4816,248813,13940687.31,1.0,1.0,13261.12,46188.27,22634.8,16.450322338691727,2016-12-01,True,10.76993621339275,-0.9761801158512551,False,False
banco del austro,2017,1,4694,214604,12117966.59,1.0,1.0,12979.48,45257.48,21912.19,16.310199833949742,2017-01-01,True,-13.074826796326732,-5.932682911959097,False,False
banco del austro,2017,2,4861,212085,11234391.87,1.0,2.0,13147.25,45980.08,22193.52,16.23449042297807,2017-02-01,False,-7.291443770187856,-12.927112146156738,False,False
banco del austro,2017,3,4857,236889,23682631.4,0.0,0.0,13301.04,47075.93,23032.94,16.980252527342188,2017-03-01,False,110.80474736902693,73.44961692448375,False,False
banco del austro,2017,4,4830,231796,13356035.84,1.0,1.0,13582.73,47310.79,22842.3,16.40747903835275,2017-04-01,False,-43.60408852202124,4.224237673949438,False,False
banco del austro,2017,5,4860,268614,14389468.01,2.0,2.0,13642.39,47129.41,22703.75,16.482007178252225,2017-05-01,False,7.737566613178548,4.726301926663012,False,False
banco del austro,2017,6,5070,240224,12973554.02,0.0,0.0,13730.2,47586.69,22824.91,16.37842361434053,2017-06-01,False,-9.839932852389033,9.931090300521127,False,False
banco del austro,2017,7,4846,281060,14525361.2,0.0,0.0,13776.09,47499.92,22812.3,16.49140679670804,2017-07-01,False,11.961311276830822,12.71038038147887,False,False
banco del austro,2017,8,4866,277056,14790068.06,1.0,1.0,13943.51,47775.11,22992.93,16.50946650404728,2017-08-01,False,1.8223771261536736,12.96404675992835,False,False
banco del austro,2017,9,4915,264162,14882788.29,0.0,0.0,13965.81,47658.54,22779.33,16.515716022087183,2017-09-01,False,0.6269087445970767,13.950710629877893,False,False
banco del austro,2017,10,4940,282768,15750979.6,1.0,1.0,14047.74,48166.55,23149.97,16.572413181615282,2017-10-01,False,5.8335259030954045,18.99825802446935,False,False
banco del austro,2017,11,4950,278032,15913566.3,2.0,2.0,14170.54,48835.51,23657.0,16.582682592654276,2017-11-01,False,1.0322323063639782,26.446041345044446,False,False
banco del austro,2017,12,4973,309209,17198564.85,1.0,1.0,14858.68,50790.78,24530.51,16.660336557493356,2017-12-01,True,8.07486220106426,23.369561826862338,False,False
banco del austro,2018,1,4830,264960,25506371.83,1.0,1.0,14492.2,49914.38,23951.93,17.054438893807088,2018-01-01,True,48.305233910258494,110.48392599999733,False,False
